Age,Gender,JobRole,WorkHours,RemoteWork,JobSatisfaction,SleepHours,Stress,PhysicalActivity,SalaryRange,WorkLifeBalance,HasMentalHealthHelp,BurnoutRisk
3.Senior,Male,Sales Associate,1.Standard Load,No,2.Neutral,2.Well Rested,3.High,4.Active,40K-60K,5.Excellent,Yes,No
1.Young,Male,Software Engineer,2.Overworked,Hybrid,1.Unhappy,2.Well Rested,2.Moderate,5.Athlete,80K-100K,1.Terrible,Yes,Yes
1.Young,Non-binary,IT Admin,2.Overworked,Hybrid,2.Neutral,2.Well Rested,2.Moderate,5.Athlete,80K-100K,4.Good,No,Yes
2.Mid-Life,Male,HR Specialist,1.Standard Load,Yes,2.Neutral,2.Well Rested,2.Moderate,4.Active,60K-80K,1.Terrible,Yes,No
1.Young,Male,Customer Support,1.Standard Load,Yes,1.Unhappy,1.Sleep Deprived,2.Moderate,3.Moderate,<40K,1.Terrible,Yes,Yes
2.Mid-Life,Prefer not to say,Project Manager,2.Overworked,Hybrid,2.Neutral,2.Well Rested,2.Moderate,3.Moderate,40K-60K,3.Fair,Yes,No
1.Young,Prefer not to say,Software Engineer,1.Standard Load,Hybrid,3.Happy,2.Well Rested,2.Moderate,3.Moderate,100K+,4.Good,Yes,No
1.Young,Male,Customer Support,1.Standard Load,No,2.Neutral,2.Well Rested,3.High,4.Active,80K-100K,1.Terrible,Yes,No
2.Mid-Life,Prefer not to say,Marketing Manager,1.Standard Load,Hybrid,2.Neutral,2.Well Rested,2.Moderate,3.Moderate,80K-100K,5.Excellent,No,No
4.Elder,Prefer not to say,Software Engineer,2.Overworked,Hybrid,2.Neutral,2.Well Rested,2.Moderate,4.Active,60K-80K,1.Terrible,Yes,Yes
2.Mid-Life,Male,Sales Associate,1.Standard Load,Yes,1.Unhappy,2.Well Rested,1.Low,1.Sedentary,80K-100K,3.Fair,No,Yes
1.Young,Non-binary,Data Scientist,1.Standard Load,Hybrid,1.Unhappy,2.Well Rested,3.High,2.Light,80K-100K,2.Poor,Yes,No
2.Mid-Life,Male,HR Specialist,1.Standard Load,Hybrid,3.Happy,2.Well Rested,2.Moderate,5.Athlete,80K-100K,4.Good,No,No
1.Young,Prefer not to say,IT Admin,1.Standard Load,Yes,3.Happy,2.Well Rested,3.High,5.Athlete,60K-80K,5.Excellent,Yes,No
